Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,12.333700,12.375000,11.771200,11.771200,11.210161,932800
2017-01-10,11.825000,12.250000,11.813800,12.051300,11.476912,624000
2017-01-11,11.996300,12.287500,11.996300,12.187500,11.606620,898400
2017-01-12,12.350000,13.061200,12.321200,13.000000,12.380395,1288000
2017-01-13,12.998700,13.360000,12.900000,13.250000,12.618479,724000
2017-01-16,13.203700,13.203700,12.908700,12.988800,12.369729,595200
2017-01-17,13.000000,13.282500,12.906200,13.250000,12.618479,595200
2017-01-18,13.250000,13.373700,13.231200,13.318800,12.684001,325600
2017-01-19,13.318800,13.450000,13.207500,13.425000,12.785138,480000
2017-01-20,13.295000,15.000000,13.295000,14.987500,14.273167,2337600
2017-01-23,14.987500,15.778800,14.526200,15.625000,14.880282,865600
2017-01-24,15.625000,16.305000,15.350000,16.305000,15.527874,1078400
2017-01-26,16.361200,16.462500,15.746300,15.940000,15.180268,828800
2017-01-27,15.815000,16.037500,15.133700,15.536300,14.795810,412800
2017-01-30,15.617500,15.748700,14.526200,14.575000,13.880326,306400
2017-01-31,14.721200,15.998700,14.721200,15.998700,15.236171,614400
2017-02-01,16.125000,16.250000,15.057500,15.875000,15.118366,878400
2017-02-02,15.867500,15.928800,15.502500,15.875000,15.118366,1134400
2017-02-03,15.812500,16.030001,15.656200,15.875000,15.118366,336000
2017-02-06,15.742500,17.373800,15.742500,17.373800,16.545731,777600
2017-02-07,17.501200,17.780001,17.375000,17.500000,16.665916,444800
2017-02-08,17.608700,17.750000,17.062500,17.125000,16.308788,640800
2017-02-09,17.308800,17.308800,17.125000,17.125000,16.308788,265600
2017-02-10,17.163700,17.375000,17.163700,17.285000,16.461163,500800
2017-02-13,17.286200,19.250000,17.286200,19.000000,18.094423,740000
2017-02-14,19.212500,20.052500,18.625000,18.687500,17.796818,754400
2017-02-15,18.875000,19.513800,18.750000,19.250000,18.332506,825600
2017-02-16,19.387501,19.596300,19.160000,19.500000,18.570591,828800
2017-02-17,19.500000,20.471300,19.438700,20.443800,19.469410,1196800
2017-02-20,21.375000,22.125000,20.826300,22.000000,20.951437,881600
2017-02-21,22.250000,23.975000,22.007500,23.937500,22.796593,1444000
2017-02-22,23.943800,24.375000,23.367500,24.208700,23.054867,1828800
2017-02-23,24.332500,25.635000,23.926300,25.635000,24.413187,1984800
2017-02-24,25.348700,27.250000,24.395000,26.013800,24.773930,1243200
2017-03-01,26.542500,27.250000,26.512501,26.875000,25.594084,1075200
2017-03-02,26.913700,27.033800,24.250000,24.750000,23.570366,1267200
2017-03-03,24.500000,25.500000,23.600000,24.376200,23.214382,853600
2017-03-06,24.500000,25.375000,24.150000,24.377501,23.215622,424000
2017-03-07,24.500000,24.500000,22.061300,23.137501,22.034723,1363200
2017-03-08,23.400000,23.400000,20.638800,22.000000,20.951437,1610400
2017-03-09,21.798700,23.433800,20.629999,23.186300,22.081196,1318400
2017-03-10,23.723700,23.750000,21.360001,21.375000,20.356224,924000
2017-03-13,21.875000,22.125000,20.663700,21.257500,20.244326,720800
2017-03-14,21.228800,21.625000,20.737499,21.625000,20.594309,1108000
2017-03-15,21.548700,21.961300,20.902500,21.961300,20.914581,560000
2017-03-16,22.253700,24.493700,22.253700,24.493700,23.326283,1131200
2017-03-17,24.626200,24.626200,22.987499,22.987499,21.891870,789600
2017-03-20,22.987499,24.750000,22.727501,24.438700,23.273905,660800
2017-03-21,24.498800,24.498800,22.758801,23.000000,21.903776,856000
2017-03-22,23.051300,23.186300,22.540001,22.795000,21.708546,497600
2017-03-23,22.875000,23.662500,22.858700,23.625000,22.498987,231200
2017-03-24,23.750000,23.750000,22.657499,22.762501,21.677595,489600
2017-03-27,22.421200,22.687500,22.093800,22.687500,21.606171,556000
2017-03-28,22.918800,22.924999,21.934999,22.081200,21.028767,659200
2017-03-29,22.156200,22.602501,21.987499,22.543800,21.469318,375200
2017-03-30,22.379999,22.738800,22.062500,22.625000,21.546648,235200
2017-03-31,22.610001,23.686300,22.137501,22.137501,21.082384,1147200
2017-04-03,22.313700,23.362499,22.126200,22.873800,21.783590,384000
2017-04-04,23.000000,23.500000,22.512501,22.973700,21.878729,485600
2017-04-05,23.105000,23.355000,22.748800,23.353800,22.240713,1168800
2017-04-06,23.120001,23.500000,23.084999,23.500000,22.379946,340000
2017-04-07,23.233700,23.650000,23.191200,23.443800,22.326422,374400
2017-04-10,23.376200,23.377501,22.751200,23.125000,22.022818,359200
2017-04-11,23.183800,23.413700,22.590000,23.413700,22.297758,548000
2017-04-12,23.088800,23.146200,22.295000,22.433800,21.364559,688800
2017-04-13,22.433800,22.750000,21.125000,21.501200,20.476410,361600
2017-04-17,21.750000,23.718800,21.316200,23.718800,22.588316,708800
2017-04-18,23.247499,24.611200,23.187500,24.611200,23.438185,836000
2017-04-19,24.600000,26.000000,24.437500,25.750000,24.522705,761600
2017-04-20,25.748800,26.787500,25.516300,26.775000,25.498852,519200
2017-04-24,26.893700,27.998800,25.831200,26.250000,24.998875,1061600
2017-04-25,26.117500,26.836300,26.117500,26.187500,24.939352,450400
2017-04-26,26.125000,26.637501,26.122499,26.392500,26.150402,280800
2017-04-27,26.497499,27.747499,26.497499,27.747499,27.492971,1780000
2017-04-28,27.687500,29.594999,27.375000,27.848700,27.593243,1160000
2017-05-02,28.498800,28.898800,27.751200,28.622499,28.359943,575200
2017-05-03,28.687500,29.118700,27.966200,28.750000,28.486277,583200
2017-05-04,28.501200,28.950001,28.115000,28.375000,28.114716,931200
2017-05-05,31.875000,34.125000,31.500000,32.375000,32.078022,2134400
2017-05-08,31.748800,33.237499,30.780001,32.875000,32.573437,717600
2017-05-09,33.000000,33.987499,33.000000,33.902500,33.591511,632000
2017-05-10,34.112499,35.000000,34.111301,35.000000,34.678944,874400
